,bank,bike,bike loan,business,business services,consumer,consumer durable,durable,durable loan,finance,financial,financial services,furniture,furniture loan,home,home loan,housing,housing finance,insurance,investor,loan,mobile,mobile loan,personal,personal loan,services,wheeler,wheeler loan
63,1.8839442991640076,0.0,0.0,1.8839442991640076,0.0,0.0,0.0,0.0,0.0,1.6358883875347838,1.8839442991640076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6358883875347838,0.0,0.0
19,1.1659425293403072,0.0,0.0,1.1659425293403072,0.0,0.0,0.0,0.0,0.0,1.0124247543449783,1.1659425293403072,0.0,0.0,0.0,1.1659425293403072,1.1659425293403072,0.0,0.0,1.1659425293403072,1.1659425293403072,0.596466609571982,1.1659425293403072,0.0,1.1659425293403072,1.1659425293403072,1.0124247543449783,0.0,0.0
73,1.219761663506914,0.0,0.0,1.219761663506914,0.0,1.219761663506914,0.0,0.0,0.0,1.0591576097958517,1.219761663506914,0.0,0.0,0.0,1.219761663506914,0.0,1.219761663506914,0.0,1.219761663506914,1.219761663506914,0.0,1.219761663506914,0.0,1.219761663506914,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1.2797324894862703,0.0,0.0,1.2797324894862703,0.0,0.0,0.0,0.0,0.0,1.1112321737062774,1.2797324894862703,0.0,0.0,0.0,1.2797324894862703,0.0,0.0,0.0,1.2797324894862703,0.0,0.6546786655041005,1.2797324894862703,0.0,1.2797324894862703,1.2797324894862703,1.1112321737062774,0.0,0.0
7,1.119359282879831,0.0,0.0,1.119359282879831,0.0,0.0,0.0,0.0,0.0,0.9719750489199404,1.119359282879831,0.0,0.0,0.0,1.119359282879831,1.119359282879831,1.119359282879831,0.0,1.119359282879831,1.119359282879831,0.5726358028384313,1.119359282879831,0.0,1.119359282879831,1.119359282879831,0.9719750489199404,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,2.410338513885243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.410338513885243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.092973123803303,0.0,0.0
6,1.0408161783164032,0.0,0.0,1.0408161783164032,0.0,0.0,0.0,0.0,0.0,0.90377358843448,1.0408161783164032,0.0,0.0,0.0,1.0408161783164032,1.0408161783164032,1.0408161783164032,1.0408161783164032,1.0408161783164032,1.0408161783164032,0.5324551437533626,1.0408161783164032,0.0,1.0408161783164032,1.0408161783164032,0.90377358843448,1.0408161783164032,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1.0684457231226472,0.0,0.0,1.0684457231226472,0.0,0.0,0.0,0.0,0.0,0.0,1.0684457231226472,1.0684457231226472,0.0,0.0,1.0684457231226472,1.0684457231226472,0.0,0.0,1.0684457231226472,1.0684457231226472,0.546589717713815,1.0684457231226472,0.0,1.0684457231226472,1.0684457231226472,0.927765195575659,1.0684457231226472,1.0684457231226472
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.309401076758503,0.0,0.0,0.0,0.0,0.0,0.0,2.309401076758503,0.0,2.309401076758503,0.0,0.0,0.0,0.0
